name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Texas Rangers,2011,2010,team,topps,543,0,0,0,0,1,0,
Josh Hamilton,Texas Rangers,2012,2011,OF,topps,ODS-19,0,0,1,0,1,1,Opening Day Stars (3D-ish card)
Ian Kinsler,Texas Rangers,2010,2009,2B,topps,none,0,0,0,0,1,1,Topps Attax
Michael Young,Texas Rangers,2012,2011,DH,topps,28,0,0,1,0,1,0,
Derek Holland,Texas Rangers,2012,2011,P,topps,72,0,0,1,0,1,0,
Andruw Jones,Texas Rangers,2010,2009,DH,topps,192,0,0,0,0,1,0,
Jorge Cantu,Texas Rangers,2011,2010,1B,topps,112,0,0,0,0,1,0,
Cristian Guzman,Texas Rangers,2011,2010,2B,topps,327,0,0,0,0,1,0,
Vladimir Guerrero,Texas Rangers,2011,2010,DH,topps,67,0,0,0,0,1,0,
Michael Choice,Texas Rangers,2014,2013,OF,topps,MB-11,0,1,0,0,1,1,Topps Chrome
Koji Uehara,Texas Rangers,2012,2011,P,topps,171,0,0,0,0,1,0,
Colby Lewis,Texas Rangers,2012,2011,P,topps,215,0,0,1,0,1,0,
Colby Lewis,Texas Rangers,2013,2012,P,topps,248,0,0,0,0,1,0,
Cliff Lee,Texas Rangers,2011,2010,P,topps,103,0,0,0,0,1,0,
Neftali Feliz,Texas Rangers,2013,2012,P,topps,30,1,0,0,0,1,0,
Taylor Teagarden,Texas Rangers,2011,2010,C,topps,371,0,0,0,0,1,0,
C.J. Wilson,Texas Rangers,2011,2010,P,topps,323,0,0,0,0,2,0,
Colby Lewis,Texas Rangers,2011,2010,P,topps,352,0,0,0,0,1,0,
Derek Holland,Texas Rangers,2011,2010,P,topps,413,1,0,0,0,1,0,
Neftali Feliz,Texas Rangers,2011,2010,P,topps,600,0,0,0,0,1,1,Topps All Star Rookie
Omar Beltre,Texas Rangers,2011,2010,P,topps,621,0,0,0,0,1,0,
Neftali Feliz,Texas Rangers,2011,2010,P ,topps,6,0,0,0,0,1,0,
Neftali Feliz,Texas Rangers,2011,2010,P,topps,26,1,0,0,0,2,1,2010 AL Rookie of the Year
Julio Borbon,Texas Rangers,2011,2010,OF,topps,8,0,0,0,0,2,0,
Matt Harrison,Texas Rangers,2011,2010,P,topps,432,0,0,0,0,1,0,
Scott Feldman,Texas Rangers,2011,2010,P,topps,498,0,0,0,0,1,0,
Mason Tobin,Texas Rangers,2011,2010,P,topps,343,0,1,0,0,1,0,
David Murphy,Texas Rangers,2011,2010,OF,topps,603,0,0,0,0,2,0,
Josh Hamilton,Texas Rangers,2010,2009,OF,topps,none,0,0,0,0,1,1,"Topps Attax, Hot Streak"
Josh Hamilton,Texas Rangers,2010,2009,OF,topps,FCTTT7,0,0,0,0,1,1,Code to unlock an online card
Elvis Andrus,Texas Rangers,2011,2010,SS,topps,435,0,0,0,0,1,0,
Michael Young,Texas Rangers,2011,2010,3B,topps,320,0,0,0,0,2,0,
Matt Harrison,Texas Rangers,2014,2013,P,topps,536,0,0,0,0,2,0,
Derek Holland,Texas Rangers,2014,2013,P,topps,655,0,0,0,0,2,0,
Tommy Hanson,Texas Rangers,2014,2013,P,topps,626,0,0,0,0,2,0,
Geovany Soto,Texas Rangers,2014,2013,C,topps,389,0,0,0,0,1,0,
Nelson Cruz,Texas Rangers,2011,2010,OF,topps,236,1,0,0,0,1,0,
Elvis Andrus,Texas Rangers,2010,2009,SS,topps,none,0,0,0,0,1,0,Topps Attax
Shin-Soo Choo,Texas Rangers,2014,2013,OF,topps,120,0,0,1,0,1,0,
David Murphy,Texas Rangers,2014,2013,OF,topps,39,1,0,0,0,2,0,
Mitch Moreland,Texas Rangers,2014,2013,1B,topps,94,1,0,0,0,1,0,
Adrian Beltre,Texas Rangers,2014,2013,3B,topps,161,1,0,0,0,1,0,
Alexi Ogando,Texas Rangers,2014,2013,P,topps,422,0,0,0,0,1,0,
Jim Adduci,Texas Rangers,2014,2013,OF,topps,52,0,1,0,0,1,0,
Leonys Marin,Texas Rangers,2014,2013,OF,topps,82,0,0,0,0,1,0,
Prince Fielder,Texas Rangers,2014,2013,1B,topps,550,0,0,0,0,1,0,
J.P. Arencibia,Texas Rangers,2014,2013,C,topps,627,0,0,0,0,1,0,
Neftali Feliz,Texas Rangers,2014,2013,P,topps,310,0,0,0,0,1,0,
Elvis Andrus,Texas Rangers,2014,2013,SS,topps,324,0,0,0,0,1,0,
Jurickson Profar,Texas Rangers,2014,2013,2B,topps,18,0,0,0,0,1,1,Future Stars
Martin Perez,Texas Rangers,2014,2013,P,topps,92,0,0,0,0,1,1,Future Stars
Jason Frasor,Texas Rangers,2014,2013,P,topps,147,0,0,0,0,1,0,
Yu Darvish,Texas Rangers,2014,2013,P,topps,300,0,0,0,0,1,0,
