name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,New York Mets,2011,2010,team,topps,157,0,0,0,0,1,0,
Tom Seaver,New York Mets,2012,2011,P,topps,GG-56,0,0,0,0,1,1,Golden Greats
Mr. Met,New York Mets,2014,2013,mascot,topps,M-25,0,0,1,0,1,0,
Bobby Parnell,New York Mets,2014,2013,P,topps,147,1,0,1,0,1,0,
David Wright,New York Mets,2014,2013,3B,topps,134,0,0,1,0,1,0,
Zack Wheeler,New York Mets,2014,2013,P,topps,101,0,0,1,0,1,1,Future Stars
Angel Pagan,New York Mets,2012,2011,OF,topps,191,0,0,0,0,1,0,
Jason Bay,New York Mets,2011,2010,OF,topps,119,0,0,0,0,2,0,
Angel Pagan,New York Mets,2011,2010,OF,topps,207,0,0,0,0,2,0,
Carlos Beltran,New York Mets,2011,2010,OF,topps,515,0,0,0,0,1,0,
Jason Bay,New York Mets,2012,2011,OF,topps,175,0,0,1,0,1,0,
Lucas Duda,New York Mets,2013,2012,OF,topps,21,0,0,0,0,1,0,
Lucas Duda,New York Mets,2011,2010,OF,topps,129,0,1,0,0,2,0,
Kirk Nieuwenhuis,New York Mets,2013,2012,OF,topps,109,1,0,0,0,1,0,
Carlos Beltran,New York Mets,2008,2007,OF,upper deck,SQ-36,0,0,0,0,1,1,Starquest
Ruben Tejada,New York Mets,2011,2010,2B,topps,625,0,0,0,0,2,0,
Ryan Church,New York Mets,2008,2007,OF,upper deck,576,0,0,0,0,1,0,
Jeff Francoeur,New York Mets,2010,2009,OF,topps,none,0,0,0,0,1,1,Topps Attax
David Wright,New York Mets,2011,2010,3B,topps,15,1,0,0,0,1,0,
David Wright,New York Mets,2012,2011,3B,topps,FS-10,0,0,1,0,1,1,Fantasy Squard
Jose Reyes,New York Mets,2010,2009,SS,topps,none,0,0,0,0,1,1,Topps Attax
Jose Reyes,New York Mets,2011,2010,SS,topps,380,1,0,0,0,1,0,
Lucas Duda,New York Mets,2012,2011,1B,topps,128,1,0,0,0,1,0,
David Wright,New York Mets,2010,2009,3B,topps,none,0,0,0,0,1,1,Topps Attax
Ike Davis,New York Mets,2011,2010,1B,topps,290,0,0,0,0,1,0,
Josh Thole,New York Mets,2011,2010,C,topps,156,0,0,0,0,1,0,
Mike Nickeas,New York Mets,2011,2010,C,topps,523,0,0,0,0,1,0,
Daniel Murphy,New York Mets,2011,2010,1B,topps,607,0,0,0,0,1,0,
Ike Davis,New York Mets,2012,2011,1B,topps,24,1,0,0,0,1,0,
Jose Reyes,New York Mets,2008,2007,SS,upper deck,572,0,0,0,0,1,0,
Ramon Castro,New York Mets,2008,2007,C,upper deck,584,0,0,0,0,1,0,
Dillon Gee,New York Mets,2011,2010,P,topps,203,0,1,0,0,1,0,
Justin Turner,New York Mets,2012,2011,2B,topps,163,0,0,0,0,1,0,
Dillon Gee,New York Mets,2013,2012,P,topps,156,0,0,0,0,1,0,
R.A. Dickey,New York Mets,2011,2010,P,topps,66,0,0,0,0,1,0,
Johan Santana,New York Mets,2009,2008,P,upper deck,193,0,0,0,0,1,1,First Edition (Gold Border)
Johan Santana,New York Mets,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Johan Santana,New York Mets,2011,2010,P,topps,56,0,0,0,0,1,0,
Francisco Rodriguez,New York Mets,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Francisco Rodriguez,New York Mets,2011,2010,P,topps,486,0,0,0,0,1,0,
