name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Seattle Mariners,2011,2010,team,topps,589,1,0,0,0,1,0,
Roenis Elias,Seattle Mariners,2014,2013,P,topps,US-220,0,1,0,0,1,0,
Austin Jackson,Seattle Mariners,2014,2013,OF,topps,US-168,0,0,0,0,1,0,
James Paxton,Seattle Mariners,2014,2013,P,topps,123,0,1,0,0,1,0,
Mike Zunino,Seattle Mariners,2014,2013,C,topps,293,0,0,0,0,1,1,Future Stars
Franklin Gutierrez,Seattle Mariners,2014,2013,OF,topps,121,0,0,0,0,1,0,
Nick Franklin,Seattle Mariners,2014,2013,2B,topps,169,0,0,0,0,1,1,Future Stars
Dustin Ackley,Seattle Mariners,2014,2013,2B,topps,9,0,0,0,0,2,0,
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,56,0,1,0,0,1,0,
Abraham Almonte,Seattle Mariners,2014,2013,OF,topps,256,0,1,0,0,1,0,
Justin Smoak,Seattle Mariners,2014,2013,1B,topps,213,0,0,0,0,1,0,
Danny Farquhar,Seattle Mariners,2014,2013,P,topps,244,0,0,0,0,1,0,
Hisashi Iwakuma,Seattle Mariners,2014,2013,P,topps,65,0,0,0,0,1,0,
Erasmo Ramirez,Seattle Mariners,2014,2013,P,topps,128,0,0,0,0,1,0,
Kendrys Morales,Seattle Mariners,2014,2013,DH,topps,156,1,0,0,0,1,0,
Kyle Seager,Seattle Mariners,2014,2013,3B,topps,73,1,0,0,0,2,0,
Michael Saunders,Seattle Mariners,2014,2013,OF,topps,224,1,0,0,0,1,0,
Fernando Rodney,Seattle Mariners,2014,2013,P,topps,497,0,0,0,0,2,0,
Logan Morrison,Seattle Mariners,2014,2013,1B,topps,490,0,0,0,0,2,0,
Corey Hart,Seattle Mariners,2014,2013,OF,topps,657,0,0,0,0,1,0,
Brad Miller,Seattle Mariners,2014,2013,SS,topps,342,0,0,0,0,1,0,
Felix Hernandez,Seattle Mariners,2014,2013,P,topps,401,0,0,0,0,1,0,
Jesus Montero,Seattle Mariners,2014,2013,C,topps,529,0,0,0,0,2,0,
Robinson Cano,Seattle Mariners,2014,2013,2B,topps,500,1,0,0,0,1,0,
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,FN-44,0,0,0,0,1,1,The Future Is Now (Blazing Start)
Taijuan Walker,Seattle Mariners,2014,2013,P,topps,FN-43,0,0,0,0,1,1,The Future Is Now (Going the Distance)
Franklin Gutierrez,Seattle Mariners,2014,2013,OF,topps,121,0,0,0,0,1,0,
Felix Hernandez,Seattle Mariners,2011,2010,P,topps,403,1,0,0,0,1,1,Series 2 Checklist 4 of 5 (Fourth Youngest Ever to Reach 1000 Ks)
Felix Hernandez,Seattle Mariners,2011,2010,P,topps,530,0,0,0,0,1,0,
Felix Hernandez,Seattle Mariners,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Felix Hernandez,Seattle Mariners,2012,2011,P,topps,199,0,0,1,0,1,0,
Felix Hernandez,Seattle Mariners,2013,2012,P,topps,34,0,0,0,0,1,0,
Felix Hernandez,Seattle Mariners,2013,2012,P,topps,CC-3,0,0,0,0,1,1,Calling Card (Kiss For the Kids)
Erik Badard,Seattle Mariners,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Jason Vargas,Seattle Mariners,2011,2010,P,topps,237,0,0,0,0,2,0,
David Aardsma,Seattle Mariners,2011,2010,P,topps,149,0,0,0,0,1,0,
Doug Fister,Seattle Mariners,2011,2010,P,topps,362,0,0,0,0,1,0,
Erik Badard,Seattle Mariners,2011,2010,P,topps,532,0,0,0,0,1,0,
Michael Pineda,Seattle Mariners,2011,2010,P,topps,595,0,1,0,0,1,0,
Luke French,Seattle Mariners,2011,2010,P,topps,624,0,0,0,0,1,0,
