name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Cleveland Indians,2011,2010,team,topps,68,1,0,0,0,1,0,
Victor Martinez,Cleveland Indians,2008,2007,C,topps,763,0,0,0,0,1,1,Team Checklist
Asdrubal Cabrera,Cleveland Indians,2011,2010,SS,topps,522,0,0,0,0,1,0,
Asdrubal Cabrera,Cleveland Indians,2010,2009,SS,topps,none,0,0,0,0,1,1,Topps Attax
Jayson Nix,Cleveland Indians,2011,2010,3B,topps,549,1,0,0,0,1,0,
Matt LaPorta,Cleveland Indians,2011,2010,1B,topps,476,0,0,0,0,1,0,
Jason Donald,Cleveland Indians,2011,2010,2B,topps,526,0,0,0,0,1,0,
Travis Hafner,Cleveland Indians,2011,2010,DH,topps,257,0,0,0,0,1,0,
Shin-Soo Choo,Cleveland Indians,2010,2009,OF,topps,none,0,0,0,0,1,1,Topps Attax
Shin-Soo Choo,Cleveland Indians,2010,2009,OF,topps,none,0,0,0,0,2,1,Topps Attax Hot Streak (Shiny)
Ubaldo Jimenez,Cleveland Indians,2014,2013,P,topps,184,0,0,1,0,1,0,
Jason Kipnis,Cleveland Indians,2014,2013,2B,topps,UP-30,0,0,0,0,1,1,Fired Up
Michael Brantley,Cleveland Indians,2011,2010,OF,topps,274,1,0,0,0,1,0,
David Delucci,Cleveland Indians,2008,2007,OF,upper deck,479,0,0,0,0,1,0,
Jason Michaels,Cleveland Indians,2008,2007,OF,upper deck,476,1,0,0,0,1,0,
Trevor Crowe,Cleveland Indians,2011,2010,OF,topps,430,0,0,0,0,1,0,
Grady Sizemore,Cleveland Indians,2011,2010,OF,topps,440,0,0,0,0,1,0,
Austin Kearns,Cleveland Indians,2011,2010,OF,topps,449,0,0,0,0,1,0,
Travis Buck,Cleveland Indians,2011,2010,OF,topps,426,0,0,0,0,1,0,
Drew Stubbs,Cleveland Indians,2014,2013,OF,topps,309,0,0,0,0,2,0,
Mike Aviles,Cleveland Indians,2014,2013,SS,topps,76,0,0,0,0,2,0,
Jason Kipnis,Cleveland Indians,2014,2013,2B,topps,235,0,0,0,0,2,0,
Carlos Carrasco,Cleveland Indians,2011,2010,P,topps,28,0,0,0,0,1,0,
Ubaldo Jimenez,Cleveland Indians,2012,2011,P,topps,157,0,0,1,0,1,0,
Zach McAllister,Cleveland Indians,2012,2011,P,topps,570,0,1,0,0,1,0,
Justin Masterson,Cleveland Indians,2011,2010,P,topps,544,0,0,0,0,1,0,
Chris Perez,Cleveland Indians,2011,2010,P,topps,159,0,0,0,0,1,0,
Chris Perez,Cleveland Indians,2012,2011,P,topps,436,0,0,0,0,1,0,
Josh Tomlin,Cleveland Indians,2011,2010,P,topps,160,0,0,0,0,1,0,
Tony Sipp,Cleveland Indians,2011,2010,P,topps,536,0,0,0,0,1,0,
Jeanmar Gomez,Cleveland Indians,2011,2010,P,topps,647,0,0,0,0,1,0,
Chris Dickerson,Cleveland Indians,2014,2013,OF,topps,US-141,0,0,0,0,1,0,
Michael Brantley,Cleveland Indians,2014,2013,OF,topps,261,0,0,0,0,1,0,
Chris Perez,Cleveland Indians,2014,2013,P,topps,191,0,0,0,0,1,0,
Nick Swisher,Cleveland Indians,2014,2013,OF,topps,198,0,0,0,0,1,0,
Lonnie Chisenhall,Cleveland Indians,2014,2013,3B,topps,317,0,0,0,0,1,0,
Ubaldo Jimenez,Cleveland Indians,2014,2013,P,topps,216,0,0,0,0,1,0,
Corey Kluber,Cleveland Indians,2014,2013,P,topps,279,0,0,0,0,1,0,
Ryan Rayburn,Cleveland Indians,2014,2013,OF,topps,440,0,0,0,0,1,0,
John Axford,Cleveland Indians,2014,2013,P,topps,495,0,0,0,0,1,0,
Jose Ramirez,Cleveland Indians,2014,2013,2B,topps,424,0,1,0,0,1,0,
Zach McAllister,Cleveland Indians,2014,2013,P,topps,616,0,0,0,0,2,0,
Vinnie Pestano,Cleveland Indians,2014,2013,P,topps,458,0,0,0,0,2,0,
Carlos Santana,Cleveland Indians,2014,2013,C,topps,338,0,0,0,0,2,0,
C.C. Lee,Cleveland Indians,2014,2013,P,topps,404,0,1,0,0,1,0,
Trevor Bauer,Cleveland Indians,2014,2013,P,topps,539,0,0,0,0,2,0,
Michael Bourn,Cleveland Indians,2014,2013,OF,topps,382,0,0,0,0,1,0,
Carlos Carrasco,Cleveland Indians,2014,2013,P,topps,501,0,0,0,0,2,0,
Yan Gomes,Cleveland Indians,2014,2013,C,topps,620,0,0,0,0,1,0,
Danny Salazar,Cleveland Indians,2014,2013,P,topps,530,0,0,0,0,2,1,Future Stars
Asdrubal Cabrera,Cleveland Indians,2014,2013,SS,topps,559,1,0,0,0,1,0,
Justin Masterson,Cleveland Indians,2014,2013,P,topps,507,1,0,0,0,1,0,
Shin-Soo Choo,Cleveland Indians,2011,2010,OF,topps,35,0,0,0,0,1,0,
Mitch Talbot,Cleveland Indians,2011,2010,P,topps,445,0,0,0,0,2,0,
Fausto Carmona,Cleveland Indians,2011,2010,P,topps,151,0,0,0,0,2,0,
Derek Lowe,Cleveland Indians,2012,2011,P,topps,638,0,0,0,0,1,0,
Carlos Santana,Cleveland Indians,2011,2010,C,topps,209,0,0,0,0,1,0,
Carlos Santana,Cleveland Indians,2011,2010,C,topps,TT-41,0,0,0,0,1,1,Topps Town
Carlos Santana,Cleveland Indians,2013,2012,C,topps,CH-7,0,0,0,0,1,1,Chasing History
Brett Butler,Cleveland Indians,1984,1984,OF,donruss,186,0,0,0,0,1,0,Leaf Variant
Brett Butler,Cleveland Indians,1985,1985,OF,donruss,102,0,0,0,0,3,0,
Pat Tabler,Cleveland Indians,1985,1985,1B,donruss,129,0,0,0,0,1,1,Mr. Clutch
Doug Jones,Cleveland Indians,1990,1989,P,leaf,153,0,0,0,0,1,0,
Albert Belle,Cleveland Indians,1994,1993,OF,upper deck,120,0,0,0,0,1,1,Collector's Choice
John Farrell,Cleveland Indians,1990,1989,P,upper deck,22,0,0,0,0,1,0,
Mike Papi,Cleveland Indians,2015,2014,OF,bowman,DD-MP,0,0,0,0,1,1,Draft/Dividends
Brad Hand,Cleveland Indians,2019,2018,P,topps,HW91,0,0,0,0,1,1,Holiday variant
Mike Hargrove,Cleveland Indians,1982,1981,1B,donruss,389,0,0,0,0,2,0,
Duane Kuiper,Cleveland Indians,1982,1981,2B,donruss,198,0,0,0,0,1,0,
John Denny,Cleveland Indians,1982,1981,P,topps,773,0,0,0,0,2,0,With printed signature
Josh Tomlin,Cleveland Indians,2017,2016,P,topps,342,0,0,0,0,1,0,
