name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Team Card,Baltimore Orioles,2011,2010,team,topps,152,0,0,0,0,1,0,
Vladimir Guerrero,Baltimore Orioles,2012,2011,none,topps,424,0,0,0,0,1,1,"Series Two Checklist, All-Time Dominican Hits Leader"
Ty Wigginton,Baltimore Orioles,2011,2010,1B,topps,205,0,0,0,0,2,0,
Brandon Snyder,Baltimore Orioles,2011,2010,1B,topps,213,0,1,0,0,1,0,
Brian Roberts,Baltimore Orioles,2011,2010,2B,topps,443,0,0,0,0,2,0,
Melvin Mora,Baltimore Orioles,2008,2007,3B,topps,425,0,0,0,0,1,0,
Josh Bell,Baltimore Orioles,2011,2010,3B,topps,411,0,0,0,0,2,0,
Mark Reynolds,Baltimore Orioles,2011,2010,3B,topps,378,1,0,0,0,1,0,
J.J. Hardy,Baltimore Orioles,2012,2011,SS,topps,571,0,0,0,0,1,0,
Nick Markakis,Baltimore Orioles,2010,2009,OF,upper deck,S-54,0,0,0,0,1,1,Supreme (Shiny Emerald)
Adam Jones,Baltimore Orioles,2011,2010,OF,topps,396,0,0,0,0,1,0,
Nick Markakis,Baltimore Orioles,2011,2010,OF,topps,195,0,0,0,0,1,0,
Felix Pie,Baltimore Orioles,2011,2010,OF,topps,106,0,0,0,0,3,0,
Nolan Reimold,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,"Topps Attax, Hot Streak (Shiny)"
Luke Scott,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,Topps Attax
Nolan Reimold,Baltimore Orioles,2010,2009,OF,topps,none,0,0,0,0,1,1,Topps Attax
Baltimore Orioles Wild Card,Baltimore Orioles,2013,2012,team,topps,317,1,0,0,0,1,1,2012 AL Wild Card
Kevin Gausman,Baltimore Orioles,2014,2013,P,topps,192,0,0,1,0,1,1,Future Stars
Chris Davis,Baltimore Orioles,2014,2013,1B,topps,78,0,0,1,0,1,0,
Manny Machado,Baltimore Orioles,2014,2013,3B,topps,128,0,0,1,0,1,1,"Future Stars (Shiny Blue), Dated (March 30, 2014)"
J.J. Hardy,Baltimore Orioles,2014,2013,SS,topps,118,0,0,1,0,1,0,
Tommy Hunter,Baltimore Orioles,2014,2013,P,topps,US-235,0,0,0,0,1,0,
Steve Lombardozzi,Baltimore Orioles,2014,2013,2B,topps,US-90,0,0,0,0,1,0,
Chris Tillman,Baltimore Orioles,2014,2013,P,topps,141,0,0,0,0,1,0,
Manny Machado,Baltimore Orioles,2014,2013,3B,topps,24,0,0,0,0,1,1,Future Stars
Nate McLouth,Baltimore Orioles,2014,2013,OF,topps,158,0,0,0,0,1,0,
Wei-Yin Chen,Baltimore Orioles,2014,2013,P,topps,138,0,0,0,0,1,0,
Kevin Gausman,Baltimore Orioles,2014,2013,P,topps,190,0,0,0,0,2,1,Future Stars
Jonathan Schoop,Baltimore Orioles,2014,2013,2B,topps,83,0,0,0,0,1,0,
Chris Davis,Baltimore Orioles,2014,2013,none,topps,47,1,0,0,0,1,1,"Series One Checklist, 2013 Baseball Highlights, 30 HR/RBI Before All-Star Break"
Nick Markakis,Baltimore Orioles,2014,2013,OF,topps,61,1,0,0,0,1,0,
Mike Belfiore,Baltimore Orioles,2014,2013,P,topps,516,0,1,0,0,1,0,
Bud Norris,Baltimore Orioles,2014,2013,P,topps,543,0,0,0,0,1,0,
Dylan Bundy,Baltimore Orioles,2014,2013,P,topps,531,0,0,0,0,1,1,Future Stars
Nolan Reimold,Baltimore Orioles,2014,2013,OF,topps,558,0,0,0,0,2,0,
Chris Davis,Baltimore Orioles,2014,2013,1B,topps,525,0,0,0,0,1,0,
Nelson Cruz,Baltimore Orioles,2014,2013,OF,topps,453,0,0,0,0,2,0,
J.J. Hardy,Baltimore Orioles,2014,2013,SS,topps,377,0,0,0,0,2,0,
Miguel Gonzalez,Baltimore Orioles,2014,2013,P,topps,434,0,0,0,0,2,0,
Brian Matusz,Baltimore Orioles,2014,2013,p,topps,547,0,0,0,0,1,0,
Adam Jones,Baltimore Orioles,2014,2013,OF,topps,398,0,0,0,0,2,0,
Manny Machado,Baltimore Orioles,2014,2014,3B,topps,SST-19,0,0,0,0,1,1,saberstars (Ultimate Zone Rating: 31.2)
